,sample,sample_2,uncorrected_dist,rep,b_s1,b_s2,b_mean,n_s1,n_s2,N_mean,subsample_mean_dist,no_strapped_dist,corrected_dist,corrected_dist_cons
98,ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6425998_2,0.1357351854271179,83,404342,404199,404270.5,1697154,1696485,1696819.5,0.13860326996507435,0.133702769131,0.132302826784,0.137203327618
99,ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6425998_2,0.1655000761170671,83,396380,404199,400289.5,1660060,1696485,1678272.5,0.1591650730594383,0.154649440255,0.157743314725,0.16225894753
100,ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425998_2,0.1619961066622668,83,405650,404199,404924.5,1703254,1696485,1699869.5,0.15842758737212845,0.153192580184,0.154934255855,0.160169263043
101,ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425998_2,0.160806095628762,83,400078,404199,402138.5,1677279,1696485,1686882.0,0.157704821917785,0.151898078166,0.153412286292,0.159219030044
102,ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6425998_2,0.1553841947879692,83,403014,404199,403606.5,1690960,1696485,1693722.5,0.15356902377583526,0.150890451158,0.151776536383,0.154455109001
103,ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6425998_2,0.155699875150647,83,384397,404199,394298.0,1604392,1696485,1650438.5,0.15279519766605407,0.148225306919,0.149645052522,0.154214943269
104,ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6425998_2,0.150874199561512,83,374097,404199,389148.0,1556700,1696485,1626592.5,0.1459765687883566,0.140542661469,0.142938204959,0.148372112278
105,ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6425998_2,0.0,83,404199,404199,404199.0,1696485,1696485,1696485.0,0.0,0.0,0.0,0.0
106,ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6425998_2,0.1517960619543135,83,409809,404199,407004.0,1722668,1696485,1709576.5,0.15482365219967462,0.151708850849,0.150231607082,0.153346408432
107,ucseq_ucseq_merged_SRR6426000_2,ucseq_ucseq_merged_SRR6425998_2,0.1748495693581623,83,355279,404199,379739.0,1469941,1696485,1583213.0,0.17306985443586317,0.173494549424,0.174366161762,0.173941466774
108,ucseq_ucseq_merged_SRR6426001_2,ucseq_ucseq_merged_SRR6425998_2,0.0140166314963636,83,393098,404199,398648.5,1644797,1696485,1670641.0,0.013824344839911618,0.015556080922,0.01565001056,0.013918274478
109,ucseq_ucseq_merged_SRR6426002_2,ucseq_ucseq_merged_SRR6425998_2,0.1645543381495972,83,414002,404199,409100.5,1742262,1696485,1719373.5,0.15452775694405171,0.150086730839,0.154977563077,0.159418589183
110,ucseq_ucseq_merged_SRR6426003_2,ucseq_ucseq_merged_SRR6425998_2,0.174103315659614,83,416113,404199,410156.0,1752136,1696485,1724310.5,0.1840290234853715,0.176830915292,0.171989991061,0.179188099254
111,ucseq_ucseq_merged_SRR6426004_2,ucseq_ucseq_merged_SRR6425998_2,0.1603106809469444,83,409901,404199,407050.0,1723097,1696485,1709791.0,0.15770028493735486,0.156294072906,0.157567748313,0.158973960344
112,ucseq_ucseq_merged_SRR6425989_2,ucseq_ucseq_merged_SRR6425999_2,0.1303700887702263,83,404342,409809,407075.5,1697154,1722668,1709911.0,0.13183835282668416,0.130146568544,0.129430169667,0.131121953949
113,ucseq_ucseq_merged_SRR6425990_2,ucseq_ucseq_merged_SRR6425999_2,0.065664478659811,83,396380,409809,403094.5,1660060,1722668,1691364.0,0.06591218445336056,0.065077655377,0.064956728995,0.065791258071
114,ucseq_ucseq_merged_SRR6425991_2,ucseq_ucseq_merged_SRR6425999_2,0.1371599148467349,83,405650,409809,407729.5,1703254,1722668,1712961.0,0.1367703475910198,0.130754398906,0.130944460679,0.136960409364
115,ucseq_ucseq_merged_SRR6425992_2,ucseq_ucseq_merged_SRR6425999_2,0.1072762250483077,83,400078,409809,404943.5,1677279,1722668,1699973.5,0.10629499533407076,0.104606618788,0.105085520988,0.106773897534
116,ucseq_ucseq_merged_SRR6425993_2,ucseq_ucseq_merged_SRR6425999_2,0.0167148663025223,83,403014,409809,406411.5,1690960,1722668,1706814.0,0.016816037043399693,0.017647593047,0.017598225127,0.016766669124
117,ucseq_ucseq_merged_SRR6425995_2,ucseq_ucseq_merged_SRR6425999_2,0.101774453953326,83,384397,409809,397103.0,1604392,1722668,1663530.0,0.1003854581566337,0.097710502568,0.098389139041,0.10106409463
118,ucseq_ucseq_merged_SRR6425997_2,ucseq_ucseq_merged_SRR6425999_2,0.1965023140279616,83,374097,409809,391953.0,1556700,1722668,1639684.0,0.1898674994090403,0.189118714736,0.192362601681,0.193111386354
119,ucseq_ucseq_merged_SRR6425998_2,ucseq_ucseq_merged_SRR6425999_2,0.1517960619543135,83,404199,409809,407004.0,1696485,1722668,1709576.5,0.15482365219967462,0.151708850849,0.150231607082,0.153346408432
120,ucseq_ucseq_merged_SRR6425999_2,ucseq_ucseq_merged_SRR6425999_2,0.0,83,409809,409809,409809.0,1722668,1722668,1722668.0,0.0,0.0,0.0,0.0
